Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P37329,reviewed,MODA_ECOLI,Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA),modA b0763 JW0746,Escherichia coli (strain K12),257,27364
P37344,reviewed,PSPF_ECOLI,Psp operon transcriptional activator (Phage shock protein F),pspF ycjB b1303 JW1296,Escherichia coli (strain K12),325,36986
P37353,reviewed,MENE_ECOLI,2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase),menE b2260 JW2255,Escherichia coli (strain K12),451,50185
P37387,reviewed,XYLF_ECOLI,D-xylose-binding periplasmic protein,xylF xylT b3566 JW3538,Escherichia coli (strain K12),330,35734
P37388,reviewed,XYLG_ECOLI,Xylose import ATP-binding protein XylG (EC 7.5.2.10),xylG b3567 JW3539,Escherichia coli (strain K12),513,56470
P37617,reviewed,ZNTA_ECOLI,Zinc/cadmium/lead-transporting P-type ATPase (EC 7.2.2.-) (EC 7.2.2.12) (EC 7.2.2.21) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase),zntA yhhO b3469 JW3434,Escherichia coli (strain K12),732,76840
P37624,reviewed,RBBA_ECOLI,Ribosome-associated ATPase (Ribosomal bound ATPase),rbbA yhiG yhiH b3486 JW5676,Escherichia coli (strain K12),911,100785
P37626,reviewed,YHII_ECOLI,Uncharacterized protein YhiI,yhiI b3487 JW3454,Escherichia coli (strain K12),355,38828
P37647,reviewed,KDGK_ECOLI,2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase),kdgK yhjI b3526 JW5668,Escherichia coli (strain K12),309,33962
P37655,reviewed,BCSQP_ECOLI,Putative cellulose biosynthesis protein BcsQ,bcsQ yhjQ b3534,Escherichia coli (strain K12),242,27140
P37677,reviewed,LYXK_ECOLI,L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase),lyx lyxK sgbK xylK yiaP b3580 JW3552,Escherichia coli (strain K12),498,55155
P37772,reviewed,YJFF_ECOLI,Inner membrane ABC transporter permease protein YjfF,yjfF b4231 JW5754,Escherichia coli (strain K12),331,34978
P37773,reviewed,MPL_ECOLI,"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)",mpl yjfG b4233 JW4192,Escherichia coli (strain K12),457,49874
P37774,reviewed,TCYN_ECOLI,L-cystine transport system ATP-binding protein TcyN (EC 7.4.2.12),tcyN yecC b1917 JW1902,Escherichia coli (strain K12),250,27677
P37902,reviewed,GLTI_ECOLI,Glutamate/aspartate import solute-binding protein,gltI ybeJ yzzK b0655 JW5092,Escherichia coli (strain K12),302,33420
P37903,reviewed,USPF_ECOLI,Universal stress protein F,uspF ynaF yzzL b1376 JW1370,Escherichia coli (strain K12),144,16017
P38035,reviewed,RTCR_ECOLI,Transcriptional regulatory protein RtcR,rtcR yhgB b3422 JW3385,Escherichia coli (strain K12),532,60299
P38036,reviewed,CAS3_ECOLI,CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-),ygcB cas3 b2761 JW2731,Escherichia coli (strain K12),888,100545
P38134,reviewed,ETK_ECOLI,Tyrosine-protein kinase etk (EC 2.7.10.-),etk yccC b0981 JW0964,Escherichia coli (strain K12),726,81242
P38135,reviewed,FADK_ECOLI,Medium-chain fatty-acid--CoA ligase (EC 6.2.1.-) (Acyl-CoA synthetase) (ACS) (Fatty acyl-CoA synthetase FadK),fadK ydiD b1701 JW5910,Escherichia coli (strain K12),566,62759
P39172,reviewed,ZNUA_ECOLI,High-affinity zinc uptake system protein ZnuA,znuA yebL yzzP b1857 JW5831,Escherichia coli (strain K12),310,33777
P39208,reviewed,IDNK_ECOLI,Thermosensitive gluconokinase (EC 2.7.1.12) (Gluconate kinase 1),idnK gntV b4268 JW4225,Escherichia coli (strain K12),187,21004
P39265,reviewed,ALSB_ECOLI,D-allose-binding periplasmic protein (ALBP),alsB yjcX b4088 JW4049,Escherichia coli (strain K12),311,32910
P39325,reviewed,YTFQ_ECOLI,Galactofuranose-binding protein YtfQ,ytfQ b4227 JW4186,Escherichia coli (strain K12),318,34345
P39328,reviewed,YTFT_ECOLI,Galactofuranose transporter permease protein YtfT,ytfT b4230 JW5753,Escherichia coli (strain K12),341,35659
P39452,reviewed,RIR3_ECOLI,Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2),nrdE b2675 JW2650,Escherichia coli (strain K12),714,80479
P39453,reviewed,TORS_ECOLI,Sensor protein TorS (EC 2.7.13.3),torS yccI b0993 JW5135,Escherichia coli (strain K12),914,101024
P39832,reviewed,ZNUB_ECOLI,High-affinity zinc uptake system membrane protein ZnuB,znuB yebI b1859 JW1848,Escherichia coli (strain K12),261,27729
P39838,reviewed,RCSD_ECOLI,Phosphotransferase RcsD (EC 2.7.2.-) (Phosphotransfer intermediate RcsD),rcsD yojN yojP yojQ b2216 JW2204,Escherichia coli (strain K12),890,100372
P40191,reviewed,PDXK_ECOLI,Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1),pdxK yfeI b2418 JW2411,Escherichia coli (strain K12),283,30847
P40719,reviewed,QSEC_ECOLI,Sensor protein QseC (EC 2.7.13.3),qseC ygiY b3026 JW2994,Escherichia coli (strain K12),449,50282
P43329,reviewed,HRPA_ECOLI,ATP-dependent RNA helicase HrpA (EC 3.6.4.13),hrpA b1413 JW5905,Escherichia coli (strain K12),1300,149028
P43672,reviewed,UUP_ECOLI,ATP-binding protein Uup (EC 3.6.1.-),uup ycbH ycbI b0949 JW0932,Escherichia coli (strain K12),635,72067
P45425,reviewed,NANK_ECOLI,N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase),nanK yhcI b3222 JW5538,Escherichia coli (strain K12),291,29644
P45543,reviewed,FRLD_ECOLI,Fructoselysine 6-kinase (EC 2.7.1.218),frlD yhfQ b3374 JW3337,Escherichia coli (strain K12),261,28332
P45748,reviewed,TSAC_ECOLI,Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Ribosome maturation factor TsaC) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC),tsaC rimN yrdC b3282 JW3243,Escherichia coli (strain K12),190,20768
P45756,reviewed,GSPA_ECOLI,Putative general secretion pathway protein A,gspA yheD b3323 JW3285,Escherichia coli (strain K12),489,55298
P45759,reviewed,GSPE_ECOLI,Putative type II secretion system protein E (T2SS protein E) (EC 7.4.2.8) (Putative general secretion pathway protein E) (Type II traffic warden ATPase),gspE yheG b3326 JW3288,Escherichia coli (strain K12),493,54611
P45766,reviewed,YHDW_ECOLI,Putative amino-acid ABC transporter-binding protein YhdW,yhdW b3268 JW3236,Escherichia coli (strain K12),341,37021
P45767,reviewed,YHDX_ECOLI,Putative amino-acid ABC transporter permease protein YhdX,yhdX b3269 JW5544,Escherichia coli (strain K12),393,43261
P45768,reviewed,YHDY_ECOLI,Inner membrane amino-acid ABC transporter permease protein YhdY,yhdY b3270 JW5545,Escherichia coli (strain K12),367,41484
P45769,reviewed,YHDZ_ECOLI,Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ,yhdZ b3271 JW3239,Escherichia coli (strain K12),252,28574
P46849,reviewed,RTCA_ECOLI,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4),rtcA yhgJ yhgK b4475 JW5688,Escherichia coli (strain K12),338,35903
P46859,reviewed,GNTK_ECOLI,Thermoresistant gluconokinase (EC 2.7.1.12) (Gluconate kinase 2),gntK b3437 JW3400,Escherichia coli (strain K12),175,19543
P46889,reviewed,FTSK_ECOLI,DNA translocase FtsK,ftsK b0890 JW0873,Escherichia coli (strain K12),1329,146663
P52052,reviewed,YGGR_ECOLI,Uncharacterized protein YggR,yggR b2950 JW2917,Escherichia coli (strain K12),326,35994
P52094,reviewed,HISQ_ECOLI,Histidine/lysine/arginine/ornithine transport system permease protein HisQ,hisQ b2308 JW2305,Escherichia coli (strain K12),228,24649
P52097,reviewed,TILS_ECOLI,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase),tilS mesJ yaeN b0188 JW0183,Escherichia coli (strain K12),432,48204
P52101,reviewed,GLRK_ECOLI,Sensor histidine kinase GlrK (EC 2.7.13.3),glrK yfhK b2556 JW5407,Escherichia coli (strain K12),475,53330
P52126,reviewed,ABPB_ECOLI,Anti-bacteriophage protein B (Probable helicase AbpB),abpB yfjK b2627 JW2608,Escherichia coli (strain K12),729,83062
P52612,reviewed,FLII_ECOLI,Flagellum-specific ATP synthase (EC 7.1.2.2),fliI fla AIII flaC b1941 JW1925,Escherichia coli (strain K12),457,49316
P60240,reviewed,RAPA_ECOLI,RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA),rapA hepA yabA b0059 JW0058,Escherichia coli (strain K12),968,109769
P60546,reviewed,KGUA_ECOLI,Guanylate kinase (EC 2.7.4.8) (GMP kinase),gmk spoR b3648 JW3623,Escherichia coli (strain K12),207,23593
P60664,reviewed,HIS6_ECOLI,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),hisF b2025 JW2007,Escherichia coli (strain K12),258,28454
P60752,reviewed,MSBA_ECOLI,ATP-dependent lipid A-core flippase (EC 7.5.2.6) (Lipid A export ATP-binding/permease protein MsbA) (Lipid flippase),msbA b0914 JW0897,Escherichia coli (strain K12),582,64461
P60757,reviewed,HIS1_ECOLI,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),hisG b2019 JW2001,Escherichia coli (strain K12),299,33367
P60906,reviewed,SYH_ECOLI,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),hisS b2514 JW2498,Escherichia coli (strain K12),424,47029
P62615,reviewed,ISPE_ECOLI,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),ispE ipk ychB b1208 JW1199,Escherichia coli (strain K12),283,30925
P62707,reviewed,GPMA_ECOLI,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)",gpmA gpm pgm pgmA b0755 JW0738,Escherichia coli (strain K12),250,28556
P63284,reviewed,CLPB_ECOLI,Chaperone protein ClpB (ClpB disaggregase) (Heat shock protein F84.1),clpB htpM b2592 JW2573,Escherichia coli (strain K12),857,95585
P63386,reviewed,MLAF_ECOLI,Intermembrane phospholipid transport system ATP-binding protein MlaF (EC 7.6.2.-),mlaF yrbF b3195 JW3162,Escherichia coli (strain K12),269,29097
P63389,reviewed,YHES_ECOLI,Probable ATP-binding protein YheS,yheS b3352 JW3315,Escherichia coli (strain K12),637,71843
P64572,reviewed,YGHR_ECOLI,Uncharacterized ATP-binding protein YghR,yghR b2984 JW2952,Escherichia coli (strain K12),252,28151
P64602,reviewed,MLAB_ECOLI,Intermembrane phospholipid transport system binding protein MlaB,mlaB yrbB b3191 JW5535,Escherichia coli (strain K12),97,10680
P64604,reviewed,MLAD_ECOLI,Intermembrane phospholipid transport system binding protein MlaD,mlaD yrbD b3193 JW3160,Escherichia coli (strain K12),183,19576
P64606,reviewed,MLAE_ECOLI,Intermembrane phospholipid transport system permease protein MlaE,mlaE yrbE b3194 JW3161,Escherichia coli (strain K12),260,27863
P64612,reviewed,ZAPE_ECOLI,Cell division protein ZapE (Z ring-associated protein ZapE),zapE yhcM b3232 JW3201,Escherichia coli (strain K12),375,43064
P65643,reviewed,EUTT_ECOLI,Corrinoid adenosyltransferase EutT (EC 2.5.1.154) (ATP:co(I)rrinoid adenosyltransferase) (ACAT) (Cob(II)alamin adenosyltransferase EutT) (Ethanolamine utilization cobalamin adenosyltransferase) (Ethanolamine utilization corrinoid adenosyltransferase) (EutT adenosyltransferase),eutT ypfB b2459 JW2443,Escherichia coli (strain K12),267,30172
P68183,reviewed,MALG_ECOLI,Maltose/maltodextrin transport system permease protein MalG,malG b4032 JW3992,Escherichia coli (strain K12),296,32225
P68187,reviewed,MALK_ECOLI,Maltose/maltodextrin import ATP-binding protein MalK (EC 7.5.2.1),malK b4035 JW3995,Escherichia coli (strain K12),371,40990
P69441,reviewed,KAD_ECOLI,Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase),adk dnaW plsA b0474 JW0463,Escherichia coli (strain K12),214,23586
P69451,reviewed,LCFA_ECOLI,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase) (Acyl-CoA synthetase),fadD oldD b1805 JW1794,Escherichia coli (strain K12),561,62332
P69490,reviewed,CCME_ECOLI,Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE),ccmE yejS b2197 JW2185,Escherichia coli (strain K12),159,17698
P69874,reviewed,POTA_ECOLI,Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11),potA b1126 JW1112,Escherichia coli (strain K12),378,43028
P71229,reviewed,HYFR_ECOLI,DNA-binding transcriptional activator HyfR (Hydrogenase-4 transcriptional activator),hyfR b2491 JW2476,Escherichia coli (strain K12),670,75305
P75745,reviewed,PXPC_ECOLI,5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C),pxpC ybgK b0712 JW0702,Escherichia coli (strain K12),310,34386
P75746,reviewed,PXPA_ECOLI,5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A),pxpA ybgL b0713 JW0703,Escherichia coli (strain K12),244,25800
P75777,reviewed,YBHG_ECOLI,UPF0194 membrane protein YbhG,ybhG b0795 JW0779,Escherichia coli (strain K12),332,36416
P75796,reviewed,GSIA_ECOLI,Glutathione import ATP-binding protein GsiA (EC 7.4.2.10),gsiA yliA b0829 JW5897,Escherichia coli (strain K12),623,69114
P75797,reviewed,GSIB_ECOLI,Glutathione-binding protein GsiB,gsiB yliB b0830 JW5111,Escherichia coli (strain K12),512,56470
P75798,reviewed,GSIC_ECOLI,Glutathione transport system permease protein GsiC,gsiC yliC b0831 JW0815,Escherichia coli (strain K12),306,34066
P75799,reviewed,GSID_ECOLI,Glutathione transport system permease protein GsiD,gsiD yliD b0832 JW0816,Escherichia coli (strain K12),303,33238
P75828,reviewed,YBJD_ECOLI,Uncharacterized protein YbjD,ybjD b0876 JW0860,Escherichia coli (strain K12),552,63589
P75830,reviewed,MACA_ECOLI,Macrolide export protein MacA,macA ybjY b0878 JW0862,Escherichia coli (strain K12),371,40624
P75831,reviewed,MACB_ECOLI,Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-),macB ybjZ b0879 JW0863,Escherichia coli (strain K12),648,70702
P75851,reviewed,SSUC_ECOLI,Putative aliphatic sulfonates transport permease protein SsuC,ssuC ycbM b0934 JW5121,Escherichia coli (strain K12),263,28925
P75853,reviewed,SSUA_ECOLI,Putative aliphatic sulfonates-binding protein,ssuA ycbO b0936 JW0919,Escherichia coli (strain K12),319,34558
P75867,reviewed,LONH_ECOLI,Putative Lon protease homolog (EC 3.4.21.-) (ATP-dependent protease La homolog),ycbZ b0955 JW0938,Escherichia coli (strain K12),586,65819
P75948,reviewed,THIK_ECOLI,Thiamine kinase (EC 2.7.1.89),thiK ycfN b1106 JW1092,Escherichia coli (strain K12),274,32397
P75957,reviewed,LOLD_ECOLI,Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-),lolD ycfV b1117 JW5162,Escherichia coli (strain K12),233,25438
P75958,reviewed,LOLE_ECOLI,Lipoprotein-releasing system transmembrane protein LolE,lolE ycfW b1118 JW1104,Escherichia coli (strain K12),414,45344
P75959,reviewed,NAGK_ECOLI,N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase),nagK ycfX b1119 JW1105,Escherichia coli (strain K12),303,33043
P76014,reviewed,DHAL_ECOLI,"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)",dhaL ycgS b1199 JW5186,Escherichia coli (strain K12),210,22632
P76016,reviewed,DHAR_ECOLI,PTS-dependent dihydroxyacetone kinase operon regulatory protein,dhaR ycgU b1201 JW5188,Escherichia coli (strain K12),639,70562
P76027,reviewed,OPPD_ECOLI,Oligopeptide transport ATP-binding protein OppD (EC 7.4.2.6),oppD b1246 JW1238,Escherichia coli (strain K12),337,37188
P76042,reviewed,YCJN_ECOLI,Putative ABC transporter periplasmic-binding protein YcjN,ycjN b1310 JW1303,Escherichia coli (strain K12),430,46808
P76055,reviewed,TTCA_ECOLI,tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA),ttcA ydaO b1344 JW1338,Escherichia coli (strain K12),311,35561
P76085,reviewed,PAAK_ECOLI,Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase),paaK b1398 JW5218,Escherichia coli (strain K12),437,48953
P76108,reviewed,YDCS_ECOLI,Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein (Poly-3-hydroxybutyrate synthase) (PHB synthase) (EC 2.3.1.-) (cPHB synthase),ydcS b1440 JW1435,Escherichia coli (strain K12),381,42295
P76128,reviewed,DDPA_ECOLI,"Probable D,D-dipeptide-binding periplasmic protein DdpA",ddpA yddS b1487 JW5240,Escherichia coli (strain K12),516,57641
P76142,reviewed,LSRB_ECOLI,Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB),lsrB yneA b1516 JW1509,Escherichia coli (strain K12),340,36685
P76223,reviewed,YNJB_ECOLI,Protein YnjB,ynjB b1754 JW5284,Escherichia coli (strain K12),388,42845
P76224,reviewed,YNJC_ECOLI,Inner membrane ABC transporter permease protein YnjC,ynjC b1755 JW5285,Escherichia coli (strain K12),511,56243
P76257,reviewed,YOAA_ECOLI,ATP-dependent DNA helicase YoaA (EC 5.6.2.3) (DNA 5'-3' helicase YoaA),yoaA b1808 JW1797,Escherichia coli (strain K12),636,70378
P76339,reviewed,HPRS_ECOLI,Sensor histidine kinase HprS (EC 2.7.13.3) (Hydrogen peroxide response sensor),hprS yedV b1968 JW1951,Escherichia coli (strain K12),452,50850
P76387,reviewed,WZC_ECOLI,Tyrosine-protein kinase wzc (EC 2.7.10.-),wzc b2060 JW2045,Escherichia coli (strain K12),720,79343
P76393,reviewed,YEGI_ECOLI,Protein kinase YegI (EC 2.7.-.-),yegI b2070 JW2055,Escherichia coli (strain K12),648,71639
P76407,reviewed,YEGS_ECOLI,Lipid kinase YegS (EC 2.7.1.-),yegS b2086 JW2070,Escherichia coli (strain K12),299,32039
P76422,reviewed,THID_ECOLI,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase),thiD thiJ b2103 JW2090,Escherichia coli (strain K12),266,28634
P76423,reviewed,THIM_ECOLI,Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase),thiM b2104 JW2091,Escherichia coli (strain K12),262,27339
P76506,reviewed,MLAA_ECOLI,Intermembrane phospholipid transport system lipoprotein MlaA,mlaA vacJ b2346 JW2343,Escherichia coli (strain K12),251,28042
P76556,reviewed,EUTP_ECOLI,Probable acetate kinase EutP (EC 2.7.2.1) (Ethanolamine utilization protein EutP),eutP ypfD b2461 JW2445,Escherichia coli (strain K12),159,17659
P76562,reviewed,TMCA_ECOLI,tRNA(Met) cytidine acetyltransferase TmcA (EC 2.3.1.193) (Lysine 2-hydroxyisobutyryltransferase) (EC 2.3.1.-),tmcA ypfI b2474 JW2459,Escherichia coli (strain K12),671,74893
P76594,reviewed,LYSAC_ECOLI,Peptidyl-lysine N-acetyltransferase PatZ (EC 2.3.1.-) (Protein lysine acetyltransferase),patZ pka yfiQ b2584 JW2568,Escherichia coli (strain K12),886,97987
P76658,reviewed,HLDE_ECOLI,Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)],hldE rfaE waaE yqiF b3052 JW3024,Escherichia coli (strain K12),477,51051
P76909,reviewed,YNJD_ECOLI,Uncharacterized ABC transporter ATP-binding protein YnjD,ynjD b1756 JW5286,Escherichia coli (strain K12),217,24017
P77150,reviewed,PDXY_ECOLI,Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35) (Pyridoxal kinase 2) (PL kinase 2),pdxY ydgS b1636 JW1628,Escherichia coli (strain K12),287,31322
P77156,reviewed,YDCU_ECOLI,Inner membrane ABC transporter permease protein YdcU,ydcU b1442 JW1437,Escherichia coli (strain K12),313,34360
P77213,reviewed,GCS2_ECOLI,Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2),ybdK b0581 JW0570,Escherichia coli (strain K12),372,41688
P77231,reviewed,CITG_ECOLI,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52),citG ybdT b0613 JW0605,Escherichia coli (strain K12),292,31644
P77257,reviewed,LSRA_ECOLI,Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 7.6.2.13) (EGO10A),lsrA ego ydeX b1513 JW1506,Escherichia coli (strain K12),511,55821
P77265,reviewed,MDLA_ECOLI,Multidrug resistance-like ATP-binding protein MdlA (EC 7.6.2.2),mdlA mdl b0448 JW0438,Escherichia coli (strain K12),590,66017
P77268,reviewed,DDPD_ECOLI,"Probable D,D-dipeptide transport ATP-binding protein DdpD",ddpD yddP b1484 JW1479,Escherichia coli (strain K12),328,36100
P77269,reviewed,YPHF_ECOLI,ABC transporter periplasmic-binding protein YphF,yphF b2548 JW2532,Escherichia coli (strain K12),327,35058
P77279,reviewed,FETA_ECOLI,Probable iron export ATP-binding protein FetA (EC 7.2.2.-),fetA ybbL b0490 JW0479,Escherichia coli (strain K12),225,25382
P77307,reviewed,FETB_ECOLI,Probable iron export permease protein FetB,fetB ybbM b0491 JW5066,Escherichia coli (strain K12),259,28165
P77308,reviewed,DDPB_ECOLI,"Probable D,D-dipeptide transport system permease protein DdpB",ddpB yddR b1486 JW1481,Escherichia coli (strain K12),340,37345
P77315,reviewed,YPHD_ECOLI,Probable ABC transporter permease protein YphD,yphD b2546 JW2530,Escherichia coli (strain K12),332,34483
P77319,reviewed,HSCC_ECOLI,Chaperone protein HscC (Hsc62),hscC ybeW b0650 JW0645,Escherichia coli (strain K12),556,61986
P77348,reviewed,MPPA_ECOLI,Periplasmic murein peptide-binding protein MppA (Murein peptide permease A),mppA ynaH b1329 JW1322,Escherichia coli (strain K12),537,59900
P77364,reviewed,GLXK2_ECOLI,Glycerate 3-kinase (EC 2.7.1.31) (D-Glycerate-3-kinase) (Glycerate kinase 2) (GK2),glxK glxB5 ybbZ b0514 JW0502,Escherichia coli (strain K12),381,38734
P77390,reviewed,CITC_ECOLI,[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22) (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase),citC ybeO b0618 JW0610,Escherichia coli (strain K12),352,40077
P77463,reviewed,DDPC_ECOLI,"Probable D,D-dipeptide transport system permease protein DdpC",ddpC yddQ b1485 JW1480,Escherichia coli (strain K12),298,31971
P77481,reviewed,YCJV_ECOLI,Putative uncharacterized ABC transporter ATP-binding protein YcjV,ycjV ymjB b4524 JW1311/JW5203 b1318,Escherichia coli (strain K12),360,40147
P77485,reviewed,CUSS_ECOLI,Sensor histidine kinase CusS (EC 2.7.13.3),cusS ybcZ b0570 JW5082,Escherichia coli (strain K12),480,53738
P77495,reviewed,PRPE_ECOLI,Propionate--CoA ligase (EC 6.2.1.17) (Propionyl-CoA synthetase),prpE yahU b0335 JW0326,Escherichia coli (strain K12),628,69351
P77499,reviewed,SUFC_ECOLI,Probable ATP-dependent transporter SufC,sufC ynhD b1682 JW1672,Escherichia coli (strain K12),248,27582
P77504,reviewed,YBBP_ECOLI,Uncharacterized ABC transporter permease YbbP,ybbP b0496 JW0485,Escherichia coli (strain K12),804,89332
P77509,reviewed,YPHE_ECOLI,Uncharacterized ABC transporter ATP-binding protein YphE,yphE b2547 JW2531,Escherichia coli (strain K12),503,55016
P77510,reviewed,DPIB_ECOLI,Sensor histidine kinase DpiB (EC 2.7.13.3) (Sensor histidine kinase CitA),dpiB citA mpdB ybeP b0619 JW0611,Escherichia coli (strain K12),552,61684
P77546,reviewed,YDAV_ECOLI,Uncharacterized protein YdaV,ydaV b1360 JW1355,Escherichia coli (strain K12),248,28128
P77570,reviewed,ANMK_ECOLI,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase),anmK ydhH b1640 JW1632,Escherichia coli (strain K12),369,39496
P77622,reviewed,DDPF_ECOLI,"Probable D,D-dipeptide transport ATP-binding protein DdpF",ddpF yddO b1483 JW1478,Escherichia coli (strain K12),308,34621
P77649,reviewed,SELO_ECOLI,Protein adenylyltransferase SelO (EC 2.7.7.108) (Selenoprotein O homolog) (SelO),selO ydiU b1706 JW1696,Escherichia coli (strain K12),478,54382
P77672,reviewed,LSRC_ECOLI,Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC),lsrC ydeY b1514 JW1507,Escherichia coli (strain K12),342,36395
P77716,reviewed,YCJP_ECOLI,Inner membrane ABC transporter permease protein YcjP,ycjP b1312 JW1305,Escherichia coli (strain K12),280,31250
P77718,reviewed,THII_ECOLI,tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase),thiI yajK b0423 JW0413,Escherichia coli (strain K12),482,54973
P77737,reviewed,OPPF_ECOLI,Oligopeptide transport ATP-binding protein OppF (EC 7.4.2.6),oppF b1247 JW1239,Escherichia coli (strain K12),334,37198
P77739,reviewed,KT3K_ECOLI,Probable ketoamine kinase YniA (EC 2.7.1.-),yniA b1725 JW1714,Escherichia coli (strain K12),286,32459
P77743,reviewed,PRPR_ECOLI,Propionate catabolism operon regulatory protein,prpR yahP b0330 JW0322,Escherichia coli (strain K12),528,58649
